rpm,session,real_frames,residual_median,source_S
1900,session_2026-08-17_10-05-54_0cab1f14,7,-0.0500975874099,1.00995164208
2100,session_2026-08-17_10-05-54_0cab1f14,21,-0.0837468385252,1.00995164208
2300,session_2026-08-17_10-05-54_0cab1f14,35,-0.607187025086,1.00995164208
2300,session_2026-08-17_14-01-20_0cab1f14,1,-0.438340325858,1.02849960637
2300,session_2026-08-17_19-22-57_4156d399,6,-0.390094642269,1.02099199724
2500,session_2026-08-09_20-33-16_2e14d32b,1,-0.994450601518,1.03497009485
2500,session_2026-08-17_10-05-54_0cab1f14,1,-0.88689670758,1.00995164208
2500,session_2026-08-17_14-01-20_0cab1f14,1,-1.00144922353,1.02849960637
2500,session_2026-08-17_19-22-57_4156d399,2,0.118546601152,1.02099199724
2500,session_2026-08-29_16-30-22_3747b934,1,0.0745945827251,1.02201202485
