phase,class,coverage,N,sessions,safe_rate,MAE,P90,direction_N,direction_accuracy,jeffreys_low,jeffreys_high,session_macro_safe
preholdout,TRUST,0.0275482093664,10,7,0.9,0.115553551146,0.257180428649,4,1,0.618685228933,0.988988326237,0.857142857143
preholdout,PROVISIONAL,0.338842975207,123,16,0.731707317073,0.16976186663,0.383231997831,57,0.614035087719,0.648678042148,0.803978604278,0.731464268259
preholdout,WAIT,0.633608815427,230,14,0.530434782609,0.381166159784,0.862992033511,159,0.616352201258,0.465893190352,0.594215756656,0.586478786052
