rpm,map,distance,sources,sign,spread,maturity,nearest_scaled_distance,n_sources,positive,negative,sign_posterior,mad_ms,predicted_residual,support_cells,score,class
1900,0.775,0.940457435205,1,0.682000748926,0.277051186652,0.75,0.350396600694,9,3,6,0.841000374463,0.320888250127,-0.0183581937621,81,0.590995679186,WAIT
2100,0.775,0.973068939078,1,0.258689939248,0.17223861488,0.805555555556,0.23366791488,9,4,5,0.629344969624,0.43971861694,-0.065955308557,80,0.397068654975,WAIT
2300,0.775,0.991554958628,1,0.258689939248,0.225962944031,0.805555555556,0.130237496734,9,5,4,0.629344969624,0.371846064405,0.0555072457504,76,0.43024995208,WAIT
2500,0.775,0.999826403958,1,0.258689939248,0.243744431381,0.777777777778,0.0186338998125,9,5,4,0.629344969624,0.352908753745,0.0682802867996,60,0.437984129076,WAIT
