session,rb,mb,rpm,map,actual,frames,visits,S,residual,first_ts,distance,sources,sign,spread,maturity,nearest_scaled_distance,n_sources,positive,negative,sign_posterior,mad_ms,predicted_residual,support_cells,S_carry,predicted,error,abs_error,true_residual,score,class
session_2026-07-23_20-22-36_751ffb48,17,8,1773,0.217,2.54976,1,1,1.06855442506,-0.032975781643,1.78484905701e+12,0.866675823796,0.5,0.848826363157,0.765138514551,0.75,0.534958461523,2,0,2,0.924413181578,0.0669245991933,-0.112375414927,13,1.07065596306,2.47543986222,-0.0743201377802,0.0743201377802,-0.0380552771471,0.752861543374,PROVISIONAL
session_2026-07-23_20-22-36_751ffb48,17,15,1737,0.384,3.99872,1,1,1.06855442506,0.282605841412,1.78484905479e+12,0.903385503242,1,0.679061090525,0.859572949552,0.5,0.450790201264,4,1,3,0.839530545263,0.0378298958386,-0.0187412778381,25,1.07065596306,3.70468140425,-0.294038595747,0.294038595747,0.275297317909,0.765401784869,PROVISIONAL
session_2026-07-23_20-22-36_751ffb48,17,29,1797,0.747,8.1152,1,1,1.06855442506,0.471251457622,1.78484906734e+12,0.984804140218,1,0.743733575337,0.327903931588,0.642857142857,0.175,7,2,5,0.871866787669,0.27875865125,-0.250320191466,75,1.07065596306,7.40866179047,-0.706538209534,0.706538209534,0.456218018068,0.625953059004,WAIT
session_2026-07-23_20-22-36_751ffb48,18,13,1870,0.335,3.5904,8,4,1.06855442506,0.269815617627,1.78485189001e+12,0.72176884746,0.5,0.848826363157,0.922842244326,0.75,0.807527519311,2,0,2,0.924413181578,0.0200742438275,-0.0264856195515,27,1.07065596306,3.30062939347,-0.289770606534,0.289770606534,0.263284986983,0.773779885936,PROVISIONAL
session_2026-07-23_20-22-36_751ffb48,18,29,1809,0.737,7.47008,1,1,1.06855442506,0.0379496449656,1.78484906762e+12,0.978532392073,1,0.743733575337,0.216811804673,0.642857142857,0.208333333333,7,2,5,0.871866787669,0.382181390325,-0.250307934264,75,1.07065596306,7.19643927511,-0.273640724887,0.273640724887,0.0233327906233,0.555664818573,WAIT
session_2026-07-23_20-22-36_751ffb48,19,13,1908,0.335,3.47904,5,3,1.06855442506,0.167860837414,1.784851889e+12,0.660701503059,0.5,0,0.820675912574,0.75,0.910442886732,2,1,1,0.5,0.049406748658,-0.0101996691116,28,1.07065596306,3.30749162677,-0.171548373233,0.171548373233,0.161348704121,4.01048719216e-05,WAIT
session_2026-07-23_20-22-36_751ffb48,24,25,2491,0.639,5.86496,1,1,1.06855442506,0.0732336538828,1.78484907912e+12,0.7896929254,1,0.291026181654,0.506855018888,0.678571428571,0.687184270936,7,4,3,0.645513090827,0.169882568771,0.0174387452152,55,1.07065596306,5.82055574466,-0.0444042553358,0.0444042553358,0.061843000551,0.529434460747,WAIT
session_2026-07-23_20-22-36_751ffb48,25,21,2528,0.541,4.79232,3,1,1.06855442506,-0.0269658234858,1.78484908746e+12,0.887136033857,1,0.679061090525,0.407612606317,0.625,0.489401562001,4,1,3,0.839530545263,0.224359512489,-0.0871258843041,44,1.07065596306,4.7416380828,-0.0506819171972,0.0506819171972,-0.0364439671069,0.636833884962,WAIT
session_2026-07-23_20-22-36_751ffb48,25,22,2526,0.55,4.7616,1,1,1.06855442506,-0.135187077656,1.78484908802e+12,0.836895927979,1,0,0.398232658943,0.625,0.596750459666,4,2,2,0.5,0.230179718571,-0.078463793309,43,1.07065596306,4.82795385056,0.0663538505558,0.0663538505558,-0.144817643865,3.62937776434e-05,WAIT
session_2026-07-23_20-22-36_751ffb48,25,25,2587,0.639,6.3616,1,1,1.06855442506,0.466313109972,1.78484908554e+12,0.902632995578,1,0.743733575337,0.406810717107,0.678571428571,0.452635032032,7,5,2,0.871866787669,0.224851817563,0.0542944855393,44,1.07065596306,5.96117570259,-0.400424297415,0.400424297415,0.454718782954,0.662592655053,WAIT
